id,respondent_id,survey_id,answer
1,1,1,"Пользуюсь интернетом 5-7 часов в день"
2,2,1,"Пользуюсь интернетом 3-5 часов в день"
3,3,1,"Пользуюсь интернетом более 7 часов в день"
4,4,1,"Пользуюсь интернетом 3-5 часов в день"
5,5,1,"Пользуюсь интернетом 5-7 часов в день"
6,6,2,"Сортирую мусор и экономлю воду"
7,7,2,"Стараюсь меньше использовать пластик"
8,8,2,"Сортирую мусор и экономлю воду"
9,9,2,"Покупаю эко-товары"
10,10,2,"Сортирую мусор и экономлю воду"
11,11,3,"Социальные сети помогают в учёбе"
12,12,3,"Ограничиваю время в соцсетях"
13,13,3,"Социальные сети помогают в учёбе"
14,14,3,"Социальные сети отвлекают от дел"
15,15,3,"Ограничиваю время в соцсетях"
16,16,4,"Занимаюсь спортом 2-3 раза в неделю"
17,17,4,"Стараюсь ходить 10000 шагов в день"
18,18,4,"Занимаюсь спортом 2-3 раза в неделю"
19,19,4,"Соблюдаю режим сна"
20,20,4,"Занимаюсь спортом 2-3 раза в неделю"
21,21,5,"Веду бюджет в мобильном приложении"
22,22,5,"Планирую расходы на месяц вперёд"
23,23,5,"Веду бюджет в мобильном приложении"
24,24,5,"Инвестирую небольшие суммы"
25,25,5,"Веду бюджет в мобильном приложении"
26,26,6,"Прохожу онлайн-курсы для развития"
27,27,6,"Читаю профессиональную литературу"
28,28,6,"Прохожу онлайн-курсы для развития"
29,29,6,"Участвую в конференциях"
30,30,6,"Прохожу онлайн-курсы для развития"
31,31,7,"Предпочитаю активный отдых на природе"
32,32,7,"Люблю культурный туризм"
33,33,7,"Предпочитаю активный отдых на природе"
34,34,7,"Путешествую по России"
35,35,7,"Предпочитаю активный отдых на природе"
36,36,8,"Стараюсь есть больше овощей и фруктов"
37,37,8,"Избегаю фастфуда"
38,38,8,"Стараюсь есть больше овощей и фруктов"
39,39,8,"Пью достаточно воды"
40,40,8,"Стараюсь есть больше овощей и фруктов"
41,41,9,"Верю в потенциал искусственного интеллекта"
42,42,9,"Опасаюсь влияния технологий на приватность"
43,43,9,"Верю в потенциал искусственного интеллекта"
44,44,9,"Хочу изучить программирование"
45,45,9,"Верю в потенциал искусственного интеллекта"
46,46,10,"Люблю посещать театры и выставки"
47,47,10,"Читаю классику и современную литературу"
48,48,10,"Люблю посещать театры и выставки"
49,49,10,"Слушаю классическую музыку"
50,50,10,"Люблю посещать театры и выставки"
51,1,3,"Социальные сети помогают в учёбе"
52,2,4,"Занимаюсь спортом 2-3 раза в неделю"
53,3,5,"Веду бюджет в мобильном приложении"
54,4,6,"Прохожу онлайн-курсы для развития"
55,5,7,"Предпочитаю активный отдых на природе"
56,6,8,"Стараюсь есть больше овощей и фруктов"
57,7,9,"Верю в потенциал искусственного интеллекта"
58,8,10,"Люблю посещать театры и выставки"
59,9,1,"Пользуюсь интернетом 3-5 часов в день"
60,10,2,"Сортирую мусор и экономлю воду"
61,11,3,"Ограничиваю время в соцсетях"
62,12,4,"Соблюдаю режим сна"
63,13,5,"Планирую расходы на месяц вперёд"
64,14,6,"Читаю профессиональную литературу"
65,15,7,"Путешествую по России"
66,16,8,"Избегаю фастфуда"
67,17,9,"Хочу изучить программирование"
68,18,10,"Читаю классику и современную литературу"
69,19,1,"Пользуюсь интернетом более 7 часов в день"
70,20,2,"Стараюсь меньше использовать пластик"
71,21,3,"Социальные сети отвлекают от дел"
72,22,4,"Стараюсь ходить 10000 шагов в день"
73,23,5,"Инвестирую небольшие суммы"
74,24,6,"Участвую в конференциях"
75,25,7,"Люблю культурный туризм"
76,26,8,"Пью достаточно воды"
77,27,9,"Опасаюсь влияния технологий на приватность"
78,28,10,"Слушаю классическую музыку"
79,29,1,"Пользуюсь интернетом 5-7 часов в день"
80,30,2,"Покупаю эко-товары"
81,31,3,"Социальные сети помогают в учёбе"
82,32,4,"Занимаюсь спортом 2-3 раза в неделю"
83,33,5,"Веду бюджет в мобильном приложении"
84,34,6,"Прохожу онлайн-курсы для развития"
85,35,7,"Предпочитаю активный отдых на природе"
86,36,8,"Стараюсь есть больше овощей и фруктов"
87,37,9,"Верю в потенциал искусственного интеллекта"
88,38,10,"Люблю посещать театры и выставки"
89,39,1,"Пользуюсь интернетом 3-5 часов в день"
90,40,2,"Сортирую мусор и экономлю воду"
91,41,3,"Ограничиваю время в соцсетях"
92,42,4,"Соблюдаю режим сна"
93,43,5,"Планирую расходы на месяц вперёд"
94,44,6,"Читаю профессиональную литературу"
95,45,7,"Путешествую по России"
96,46,8,"Избегаю фастфуда"
97,47,9,"Хочу изучить программирование"
98,48,10,"Читаю классику и современную литературу"
99,49,1,"Пользуюсь интернетом 5-7 часов в день"
100,50,2,"Стараюсь меньше использовать пластик"
101,1,4,"Занимаюсь спортом 2-3 раза в неделю"
102,2,5,"Веду бюджет в мобильном приложении"
103,3,6,"Прохожу онлайн-курсы для развития"
104,4,7,"Предпочитаю активный отдых на природе"
105,5,8,"Стараюсь есть больше овощей и фруктов"
106,6,9,"Верю в потенциал искусственного интеллекта"
107,7,10,"Люблю посещать театры и выставки"
108,8,1,"Пользуюсь интернетом 3-5 часов в день"
109,9,2,"Сортирую мусор и экономлю воду"
110,10,3,"Социальные сети помогают в учёбе"
111,11,4,"Соблюдаю режим сна"
112,12,5,"Инвестирую небольшие суммы"
113,13,6,"Участвую в конференциях"
114,14,7,"Люблю культурный туризм"
115,15,8,"Пью достаточно воды"
116,16,9,"Опасаюсь влияния технологий на приватность"
117,17,10,"Слушаю классическую музыку"
118,18,1,"Пользуюсь интернетом более 7 часов в день"
119,19,2,"Покупаю эко-товары"
120,20,3,"Ограничиваю время в соцсетях"